,Day,Name,Type,Start,Income,Outcome,End
0,Day 0,PRODUCT,Product,10,1,0,11
1,Day 1,PRODUCT,Product,11,2,0,13
2,Day 2,PRODUCT,Product,13,2,0,15
3,Day 3,PRODUCT,Product,15,2,0,17
4,Day 4,PRODUCT,Product,17,2,0,19
5,Day 5,PRODUCT,Product,19,2,5,16
6,Day 6,PRODUCT,Product,16,2,0,18
7,Day 7,PRODUCT,Product,18,2,0,20
8,Day 8,PRODUCT,Product,20,2,0,22
9,Day 9,PRODUCT,Product,22,2,0,24
10,Day 10,PRODUCT,Product,24,2,0,26
11,Day 11,PRODUCT,Product,26,2,0,28
12,Day 12,PRODUCT,Product,28,2,5,25
13,Day 13,PRODUCT,Product,25,2,0,27
14,Day 14,PRODUCT,Product,27,2,0,29
15,Day 15,PRODUCT,Product,29,2,0,31
16,Day 16,PRODUCT,Product,31,2,0,33
17,Day 17,PRODUCT,Product,33,2,0,35
18,Day 18,PRODUCT,Product,35,2,0,37
19,Day 19,PRODUCT,Product,37,2,5,34
20,Day 20,PRODUCT,Product,34,1,0,35
21,Day 21,PRODUCT,Product,35,1,0,36
22,Day 22,PRODUCT,Product,36,2,0,38
23,Day 23,PRODUCT,Product,38,2,0,40
24,Day 24,PRODUCT,Product,40,2,0,42
25,Day 25,PRODUCT,Product,42,2,0,44
26,Day 26,PRODUCT,Product,44,2,5,41
27,Day 27,PRODUCT,Product,41,2,0,43
28,Day 28,PRODUCT,Product,43,2,0,45
29,Day 29,PRODUCT,Product,45,2,0,47
30,Day 30,PRODUCT,Product,47,2,0,49
31,Day 31,PRODUCT,Product,49,2,0,51
32,Day 32,PRODUCT,Product,51,2,0,53
33,Day 33,PRODUCT,Product,53,2,5,50
34,Day 34,PRODUCT,Product,50,2,0,52
35,Day 35,PRODUCT,Product,52,2,0,54
36,Day 36,PRODUCT,Product,54,2,0,56
37,Day 37,PRODUCT,Product,56,2,0,58
38,Day 38,PRODUCT,Product,58,2,0,60
39,Day 39,PRODUCT,Product,60,2,0,62
40,Day 40,PRODUCT,Product,62,2,5,59
41,Day 41,PRODUCT,Product,59,2,0,61
42,Day 42,PRODUCT,Product,61,2,0,63
43,Day 43,PRODUCT,Product,63,2,0,65
44,Day 44,PRODUCT,Product,65,2,0,67
45,Day 45,PRODUCT,Product,67,2,0,69
46,Day 46,PRODUCT,Product,69,2,0,71
47,Day 47,PRODUCT,Product,71,2,5,68
48,Day 48,PRODUCT,Product,68,2,0,70
49,Day 49,PRODUCT,Product,70,2,0,72
50,Day 50,PRODUCT,Product,72,2,0,74
51,Day 51,PRODUCT,Product,74,2,0,76
52,Day 52,PRODUCT,Product,76,2,0,78
53,Day 53,PRODUCT,Product,78,2,0,80
54,Day 54,PRODUCT,Product,80,2,5,77
55,Day 55,PRODUCT,Product,77,2,0,79
56,Day 56,PRODUCT,Product,79,2,0,81
57,Day 57,PRODUCT,Product,81,2,0,83
58,Day 58,PRODUCT,Product,83,2,0,85
59,Day 59,PRODUCT,Product,85,1,0,86
60,Day 60,PRODUCT,Product,86,2,0,88
61,Day 61,PRODUCT,Product,88,2,5,85
62,Day 62,PRODUCT,Product,85,2,0,87
63,Day 63,PRODUCT,Product,87,2,0,89
64,Day 64,PRODUCT,Product,89,2,0,91
65,Day 65,PRODUCT,Product,91,2,0,93
66,Day 66,PRODUCT,Product,93,2,0,95
67,Day 67,PRODUCT,Product,95,0,0,95
68,Day 68,PRODUCT,Product,95,0,5,90
69,Day 69,PRODUCT,Product,90,1,0,91
70,Day 70,PRODUCT,Product,91,2,0,93
71,Day 71,PRODUCT,Product,93,2,0,95
72,Day 72,PRODUCT,Product,95,2,0,97
73,Day 73,PRODUCT,Product,97,2,0,99
74,Day 74,PRODUCT,Product,99,1,0,100
75,Day 75,PRODUCT,Product,100,1,5,96
76,Day 76,PRODUCT,Product,96,2,0,98
77,Day 77,PRODUCT,Product,98,2,0,100
78,Day 78,PRODUCT,Product,100,0,0,100
79,Day 79,PRODUCT,Product,100,0,0,100
80,Day 80,PRODUCT,Product,100,0,0,100
81,Day 81,PRODUCT,Product,100,0,0,100
82,Day 82,PRODUCT,Product,100,1,5,96
83,Day 83,PRODUCT,Product,96,2,0,98
84,Day 84,PRODUCT,Product,98,2,0,100
85,Day 85,PRODUCT,Product,100,0,0,100
86,Day 86,PRODUCT,Product,100,0,0,100
87,Day 87,PRODUCT,Product,100,0,0,100
88,Day 88,PRODUCT,Product,100,0,0,100
89,Day 89,PRODUCT,Product,100,1,5,96
90,Day 90,PRODUCT,Product,96,2,0,98
91,Day 91,PRODUCT,Product,98,2,0,100
92,Day 92,PRODUCT,Product,100,0,0,100
