,RL_1000,META_1000,RL_2000,META_2000,RL_3000,META_3000,RL_4000,META_4000,RL_5000,META_5000
Case 01,-30732.14171,-30093.58056,-16298.10003,-29880.26667,-19599.04201,-22936.6555,-22291.68275,-22520.19706,-17835.43294,-23116.50837
Case 02,-23317.33333,-21378.7,-29368.63333,-16295.5,-29986.33333,-16258.83333,-33148.2,-16412.16667,-22186.5,-16288.83333
Case 03,-22719.03333,-12601.31673,-38093.15004,-12526.62503,-20147.76412,-12537.72785,-18786.76687,-12684.6667,-19314.34462,-12524.6667
Case 04,-23267.33333,-22135.06667,-22485.33333,-20809.76667,-21129.13333,-15090.5,-29188.23333,-13120.23333,-21488.36667,-25145.13333
Case 05,-23802.5,-35852.59165,-18626.8334,-19065.54165,-22276.91733,-28496.29445,-17765.07505,-15926.70284,-18508.3251,-14686.23894
Case 06,-24554,-30701.4,-24182,-14233.83333,-24388.66667,-14212.73333,-28922.83333,-14167.03333,-15537.73333,-14257.83333
Case 07,-23819.16667,-22976.1445,-28839.21155,-21874.28616,-21595.02787,-15748.84742,-25212.33381,-18156.28064,-26835.60873,-17639.30012
Case 08,-24670.66667,-14077.9,-36503.8,-14087.03333,-18451.03333,-14161,-20974.36667,-14093.83333,-14564.06667,-14031.56667
Case 09,-25665.83333,-21466.3502,-30102.5,-15437.40036,-23200.58394,-15435.97229,-26870.99229,-15340.39174,-13208.10006,-15333.97507
Case 10,-26027.33333,-25643.6,-45038.1,-18631.8,-44899.23333,-18933.7,-42245.46667,-19172.1,-26994.5,-19214.96667
Case 11,-30149.16667,-23333.01101,-41828.27778,-15490.08909,-15540.50228,-27218.70837,-25327.34155,-19454.88344,-12186.06653,-15377.30845
Case 12,-26154,-25270.8,-30065.33333,-35282.46667,-27149.36667,-28784.03333,-44390.5,-29120.6,-31070.06667,-33565.16667
,,,,,,,,,,
,1k,2k,3k,4k,5k,Meta is better,RL is better,Result,,
case 01,Meta,RL,RL,RL,RL,1,4,RL is better,,
case 02,Meta,Meta,Meta,Meta,Meta,5,0,Meta is better,,
case 03,Meta,Meta,Meta,Meta,Meta,5,0,Meta is better,,
case 04,Meta,Meta,Meta,Meta,RL,4,1,Meta is better,,
case 05,RL,RL,RL,Meta,Meta,2,3,RL is better,,
case 06,RL,Meta,Meta,Meta,Meta,4,1,Meta is better,,
case 07,Meta,Meta,Meta,Meta,Meta,5,0,Meta is better,,
case 08,Meta,Meta,Meta,Meta,Meta,5,0,Meta is better,,
case 09,Meta,Meta,Meta,Meta,RL,4,1,Meta is better,,
case 10,Meta,Meta,Meta,Meta,Meta,5,0,Meta is better,,
case 11,Meta,Meta,RL,Meta,RL,3,2,Meta is better,,
case 12,Meta,RL,RL,Meta,RL,2,3,RL is better,,
Total_meta,10,9,8,11,7,45,,Meta is Better,,
Total_RL,2,3,4,1,5,,15,,,
,,,,,,0.75,0.25,,,
