,Prod. InvenLevel,Prod. DailyChange,Mat. InvenLevel,Mat. DailyChange,Remaining Demand,ACTION
0,0,0,2,0,0,[1]
1,2,2,0,-1,12,[5]
2,3,1,0,4,11,[5]
3,5,2,3,3,9,[1]
4,7,2,6,-1,7,[2]
5,9,2,5,0,5,[0]
6,11,2,5,-2,3,[2]
7,0,-11,3,0,14,[3]
8,2,2,3,1,12,[5]
9,4,2,4,3,10,[3]
10,6,2,7,1,8,[0]
11,8,2,8,-2,6,[5]
12,10,2,6,3,4,[0]
13,12,2,9,-2,2,[2]
14,0,-12,7,0,14,[4]
15,2,2,7,2,12,[3]
16,4,2,9,1,10,[1]
17,6,2,10,-1,8,[3]
18,8,2,9,1,6,[4]
19,10,2,10,2,4,[5]
20,12,2,12,3,2,[1]
21,0,-12,15,-1,14,[0]
22,2,2,14,-2,12,[3]
23,4,2,12,1,10,[2]
24,6,2,13,0,8,[2]
25,8,2,13,0,6,[2]
26,10,2,13,0,4,[4]
27,12,2,13,2,2,[3]
28,0,-12,15,1,14,[1]
29,2,2,16,-1,12,[3]
30,4,2,15,1,10,[1]
31,6,2,16,-1,8,[0]
32,8,2,15,-2,6,[3]
33,10,2,13,1,4,[1]
34,12,2,14,-1,2,[3]
35,0,-12,13,1,14,[1]
36,2,2,14,-1,12,[0]
37,4,2,13,-2,10,[0]
38,6,2,11,-2,8,[3]
39,8,2,9,1,6,[0]
40,10,2,10,-2,4,[0]
41,12,2,8,-2,2,[4]
42,0,-12,6,2,14,[5]
43,2,2,8,3,12,[3]
44,4,2,11,1,10,[1]
45,6,2,12,-1,8,[4]
46,8,2,11,2,6,[1]
47,10,2,13,-1,4,[4]
48,12,2,12,2,2,[4]
49,0,-12,14,2,14,[5]
50,2,2,16,3,12,[5]
51,4,2,19,3,10,[1]
52,6,2,22,-1,8,[5]
53,8,2,21,3,6,[1]
54,10,2,24,-1,4,[3]
55,12,2,23,1,2,[4]
56,0,-12,24,2,14,[0]
57,2,2,26,-2,12,[2]
58,4,2,24,0,10,[1]
59,6,2,24,-1,8,[0]
60,8,2,23,-2,6,[5]
61,10,2,21,3,4,[0]
62,12,2,24,-2,2,[5]
63,0,-12,22,3,14,[2]
64,2,2,25,0,12,[1]
65,4,2,25,-1,10,[2]
66,6,2,24,0,8,[1]
67,8,2,24,-1,6,[2]
68,10,2,23,0,4,[4]
69,12,2,23,2,2,[1]
70,0,-12,25,-1,14,[3]
71,2,2,24,1,12,[0]
72,4,2,25,-2,10,[5]
73,6,2,23,3,8,[1]
74,8,2,26,-1,6,[0]
75,10,2,25,-2,4,[1]
76,12,2,23,-1,2,[5]
77,0,-12,22,3,14,[0]
78,2,2,25,-2,12,[4]
79,4,2,23,2,10,[4]
80,6,2,25,2,8,[2]
81,8,2,27,0,6,[1]
82,10,2,27,-1,4,[1]
83,12,2,26,-1,2,[2]
84,0,-12,25,0,14,[4]
85,2,2,25,2,12,[3]
86,4,2,27,1,10,[1]
87,6,2,28,-1,8,[5]
88,8,2,27,3,6,[1]
89,10,2,30,-1,4,[4]
90,12,2,29,2,2,[5]
91,0,-12,31,3,14,[5]
92,2,2,34,3,12,[4]
93,4,2,37,2,10,[3]
94,6,2,39,1,8,[0]
95,8,2,40,-2,6,[2]
96,10,2,38,0,4,[3]
97,12,2,38,1,2,[0]
98,0,-12,39,-2,14,[5]
99,2,2,37,3,12,[2]
100,4,2,40,0,10,
101,0,0,2,0,14,
