,PRODUCT's inventory,MATERIAL 1's inventory,PRODUCT's Change,MATERIAL 1's Change,Remaining Demand,Action
0,0,76,4,76,100,[1]
1,4,86,0,71,97,[0]
2,6,81,0,71,95,[2]
3,6,76,0,86,95,[0]
4,10,86,0,67,92,[1]
5,10,76,0,81,92,[0]
6,12,81,0,71,91,[2]
7,12,76,0,86,91,[2]
9,0,76,4,76,100,[5]
10,4,86,0,90,97,[5]
11,8,86,6,90,94,[0]
12,12,86,12,67,91,[1]
13,16,86,8,71,88,[0]
14,20,86,6,67,85,[4]
15,24,86,2,86,82,[3]
16,28,86,6,81,78,[2]
18,0,76,4,76,100,[2]
19,4,86,0,76,97,[3]
20,8,86,0,81,94,[3]
21,12,86,2,81,90,[5]
22,16,86,4,90,87,[2]
23,20,86,10,76,84,[3]
24,24,86,10,81,81,[4]
25,28,86,12,86,78,[2]
27,0,76,4,76,100,[0]
28,4,86,0,67,97,[0]
29,4,76,0,76,97,[0]
30,4,76,0,76,97,[0]
31,4,76,0,76,97,[5]
32,4,76,0,100,97,[0]
33,8,86,6,67,94,[4]
34,12,86,2,86,91,[0]
36,0,76,4,76,100,[1]
37,4,86,0,71,97,[2]
38,6,81,0,81,95,[0]
39,10,86,0,67,92,[0]
40,10,76,0,76,92,[1]
41,10,76,0,81,92,[0]
42,12,81,0,71,90,[3]
43,12,76,0,90,90,[2]
45,0,76,4,76,100,[4]
46,4,86,0,86,97,[3]
47,8,86,4,81,93,[4]
48,12,86,6,86,90,[2]
49,16,86,10,76,87,[0]
50,20,86,10,67,83,[1]
51,24,86,6,71,80,[5]
52,28,86,4,90,77,[3]
54,0,76,4,76,100,[1]
55,4,86,0,71,97,[5]
56,6,81,0,95,95,[0]
57,10,86,6,67,92,[4]
58,14,86,2,86,89,[1]
59,18,86,6,71,85,[5]
60,22,86,4,90,82,[5]
61,26,86,10,90,79,[2]
63,0,76,4,76,100,[2]
64,4,86,0,76,97,[0]
65,8,86,0,67,94,[1]
66,8,76,0,81,94,[5]
67,10,81,0,95,92,[1]
68,14,86,6,71,89,[4]
69,18,86,4,86,86,[1]
70,22,86,8,71,83,[2]
72,0,76,4,76,100,[5]
73,4,86,0,90,97,[2]
74,8,86,6,76,94,[2]
75,12,86,6,76,90,[5]
76,16,86,6,90,87,[4]
77,20,86,12,86,84,[4]
78,24,86,16,86,81,[5]
79,28,86,20,90,78,[3]
81,0,76,4,76,100,[0]
82,4,86,0,67,97,[1]
83,4,76,0,81,97,[5]
84,6,81,0,95,95,[3]
85,10,86,6,81,92,[4]
86,14,86,8,86,89,[0]
87,18,86,12,67,86,[5]
88,22,86,8,90,83,[2]
90,0,76,4,76,100,[5]
91,4,86,0,90,97,[4]
92,8,86,6,86,93,[4]
93,12,86,10,86,90,[1]
94,16,86,14,71,87,[5]
95,20,86,12,90,83,[1]
96,24,86,18,71,80,[3]
97,28,86,16,81,77,[0]
99,0,76,4,76,100,[1]
100,4,86,0,71,97,[0]
101,6,81,0,71,95,[2]
102,6,76,0,86,95,[3]
103,10,86,0,81,92,[3]
104,14,86,2,81,89,[5]
105,18,86,4,90,86,[0]
106,22,86,10,67,83,[5]
108,0,76,4,76,100,[4]
109,4,86,0,86,97,[0]
110,8,86,4,67,94,[1]
111,12,86,0,71,91,[0]
112,14,81,0,71,89,[3]
113,14,76,0,90,89,[3]
114,18,86,2,81,86,[4]
115,22,86,4,86,83,[1]
117,0,76,4,76,100,[5]
118,4,86,0,90,97,[5]
119,8,86,6,90,93,[0]
120,12,86,12,67,90,[1]
121,16,86,8,71,87,[3]
122,20,86,6,81,84,[1]
123,24,86,8,71,80,[3]
124,28,86,6,81,77,[3]
126,0,76,4,76,100,[2]
127,4,86,0,76,97,[4]
128,8,86,0,86,94,[1]
129,12,86,4,71,91,[4]
130,16,86,2,86,88,[5]
131,20,86,6,90,85,[3]
132,24,86,12,81,82,[2]
133,28,86,14,76,79,[1]
135,0,76,4,76,100,[5]
136,4,86,0,90,97,[3]
137,8,86,6,81,94,[4]
138,12,86,8,86,90,[2]
139,16,86,12,76,87,[1]
140,20,86,12,71,84,[3]
141,24,86,10,81,81,[5]
142,28,86,12,90,78,[4]
144,0,76,4,76,100,[5]
145,4,86,0,90,97,[4]
146,8,86,6,86,94,[1]
147,12,86,10,71,91,[4]
148,16,86,8,86,88,[4]
149,20,86,12,86,84,[1]
150,24,86,16,71,81,[0]
151,28,86,14,67,78,[0]
153,0,76,4,76,100,[2]
154,4,86,0,76,97,[5]
155,8,86,0,90,94,[4]
156,12,86,6,86,91,[1]
157,16,86,10,71,88,[4]
158,20,86,8,86,84,[3]
159,24,86,12,81,81,[4]
160,28,86,14,86,78,[4]
162,0,76,4,76,100,[3]
163,4,86,0,81,97,[2]
164,8,86,2,76,94,[2]
165,12,86,2,76,90,[2]
166,16,86,2,76,87,[4]
167,20,86,2,86,84,[2]
168,24,86,6,76,81,[2]
169,28,86,6,76,78,[3]
171,0,76,4,76,100,[2]
172,4,86,0,76,97,[5]
173,8,86,0,90,94,[2]
174,12,86,6,76,91,[1]
175,16,86,6,71,88,[2]
176,20,86,4,76,85,[2]
177,24,86,4,76,82,[0]
178,28,86,4,67,79,[5]
180,0,76,4,76,100,[2]
181,4,86,0,76,97,[4]
182,8,86,0,86,94,[3]
183,12,86,4,81,90,[5]
184,16,86,6,90,87,[1]
185,20,86,12,71,84,[3]
186,24,86,10,81,81,[5]
187,28,86,12,90,78,[5]
189,0,76,4,76,100,[5]
190,4,86,0,90,97,[2]
191,8,86,6,76,94,[5]
192,12,86,6,90,91,[5]
193,16,86,12,90,88,[4]
194,20,86,18,86,84,[5]
195,24,86,22,90,81,[0]
196,28,86,28,67,78,[4]
198,0,76,4,76,100,[2]
199,4,86,0,76,97,[2]
200,8,86,0,76,94,[2]
201,12,86,0,76,90,[2]
202,16,86,0,76,87,[4]
203,20,86,0,86,84,[0]
204,24,86,4,67,81,[1]
205,28,86,0,71,77,[4]
207,0,76,4,76,100,[0]
208,4,86,0,67,97,[0]
209,4,76,0,76,97,[0]
210,4,76,0,76,97,[5]
211,4,76,0,100,97,[3]
212,8,86,6,81,94,[1]
213,12,86,8,71,91,[3]
214,16,86,6,81,88,[5]
216,0,76,4,76,100,[5]
217,4,86,0,90,97,[0]
218,8,86,6,67,94,[5]
219,12,86,2,90,91,[1]
220,16,86,8,71,88,[2]
221,20,86,6,76,84,[5]
222,24,86,6,90,81,[1]
223,28,86,12,71,78,[3]
225,0,76,4,76,100,[0]
226,4,86,0,67,97,[3]
227,4,76,0,90,97,[3]
228,8,86,2,81,93,[2]
229,12,86,4,76,90,[3]
230,16,86,4,81,87,[5]
231,20,86,6,90,84,[4]
232,24,86,12,86,80,[1]
234,0,76,4,76,100,[1]
235,4,86,0,71,97,[2]
236,6,81,0,81,95,[4]
237,10,86,0,86,92,[2]
238,14,86,4,76,88,[2]
239,18,86,4,76,85,[3]
240,22,86,4,81,82,[0]
241,26,86,6,67,78,[2]
243,0,76,4,76,100,[1]
244,4,86,0,71,97,[1]
245,6,81,0,76,95,[1]
246,8,81,0,76,94,[4]
247,10,81,0,90,92,[1]
248,14,86,4,71,89,[2]
249,18,86,2,76,85,[5]
250,22,86,2,90,82,[2]
252,0,76,4,76,100,[1]
253,4,86,0,71,97,[2]
254,6,81,0,81,95,[2]
255,10,86,0,76,92,[2]
256,14,86,0,76,89,[5]
257,18,86,0,90,86,[2]
258,22,86,6,76,83,[2]
259,26,86,6,76,79,[2]
261,0,76,4,76,100,[5]
262,4,86,0,90,97,[2]
263,8,86,6,76,94,[0]
264,12,86,6,67,90,[2]
265,16,86,2,76,87,[3]
266,20,86,2,81,84,[0]
267,24,86,4,67,81,[0]
268,28,86,0,67,77,[4]
270,0,76,4,76,100,[5]
271,4,86,0,90,97,[1]
272,8,86,6,71,94,[0]
273,12,86,4,67,91,[5]
274,16,86,0,90,88,[5]
275,20,86,6,90,85,[4]
276,24,86,12,86,82,[3]
277,28,86,16,81,79,[1]
279,0,76,4,76,100,[3]
280,4,86,0,81,97,[2]
281,8,86,2,76,94,[0]
282,12,86,2,67,91,[2]
283,14,81,0,81,89,[4]
284,18,86,0,86,86,[5]
285,22,86,4,90,83,[1]
286,26,86,10,71,80,[3]
288,0,76,4,76,100,[3]
289,4,86,0,81,97,[0]
290,8,86,2,67,94,[4]
291,10,81,0,90,92,[5]
292,14,86,4,90,89,[4]
293,18,86,10,86,85,[4]
294,22,86,14,86,82,[0]
295,26,86,18,67,79,[0]
297,0,76,4,76,100,[4]
298,4,86,0,86,97,[2]
299,8,86,4,76,94,[4]
300,12,86,4,86,90,[1]
301,16,86,8,71,87,[2]
302,20,86,6,76,84,[0]
303,24,86,6,67,81,[3]
304,28,86,2,81,77,[5]
