,0,1,2,3,4
0,1,0,14,13,[0]
1,2,0,14,12,[0]
2,2,0,14,12,[1]
3,3,0,14,11,[1]
4,4,0,14,10,[3]
5,5,1,14,9,[0]
6,7,0,14,7,[2]
7,1,0,14,13,[0]
8,2,0,14,12,[1]
9,3,0,14,11,[1]
10,4,0,14,10,[1]
11,5,0,14,9,[3]
12,6,1,14,8,[5]
13,8,4,14,6,[4]
14,2,6,14,12,[0]
15,4,4,14,10,[0]
16,6,2,14,8,[4]
17,8,4,14,6,[1]
18,10,3,14,4,[5]
19,12,6,14,2,[4]
20,14,8,14,0,[3]
21,2,9,14,12,[3]
22,4,10,14,10,[3]
23,6,11,14,8,[2]
24,8,11,14,6,[0]
25,10,9,14,4,[1]
26,12,8,14,2,[5]
27,14,11,14,0,[5]
28,2,14,14,12,[1]
29,4,13,14,10,[2]
30,6,13,14,8,[3]
31,8,14,14,6,[0]
32,10,12,14,4,[2]
33,12,12,14,2,[0]
34,14,10,14,0,[5]
35,2,13,14,12,[0]
36,4,11,14,10,[4]
37,6,13,14,8,[1]
38,8,12,14,6,[2]
39,10,12,14,4,[0]
40,12,10,14,2,[2]
41,14,10,14,0,[4]
42,2,12,14,12,[1]
43,4,11,14,10,[3]
44,6,12,14,8,[4]
45,8,14,14,6,[1]
46,10,13,14,4,[5]
47,12,16,14,2,[2]
48,14,16,14,0,[5]
49,2,19,14,12,[1]
50,4,18,14,10,[4]
51,6,20,14,8,[0]
52,8,18,14,6,[2]
53,10,18,14,4,[4]
54,12,20,14,2,[5]
55,14,23,14,0,[0]
56,2,21,14,12,[2]
57,4,21,14,10,[1]
58,6,20,14,8,[2]
59,8,20,14,6,[2]
60,10,20,14,4,[2]
61,12,20,14,2,[0]
62,14,18,14,0,[2]
63,2,18,14,12,[4]
64,4,20,14,10,[2]
65,6,20,14,8,[0]
66,8,18,14,6,[2]
67,10,18,14,4,[4]
68,12,20,14,2,[0]
69,14,18,14,0,[3]
70,2,19,14,12,[0]
71,4,17,14,10,[4]
72,6,19,14,8,[3]
73,8,20,14,6,[2]
74,10,20,14,4,[3]
75,12,21,14,2,[5]
76,14,24,14,0,[0]
77,2,22,14,12,[4]
78,4,24,14,10,[4]
79,6,26,14,8,[3]
80,8,27,14,6,[3]
81,10,28,14,4,[3]
82,12,29,14,2,[0]
83,14,27,14,0,[0]
84,2,25,14,12,[5]
85,4,28,14,10,[1]
86,6,27,14,8,[5]
87,8,30,14,6,[3]
88,10,31,14,4,[1]
89,12,30,14,2,[4]
90,14,32,14,0,[4]
91,2,34,14,12,[5]
92,4,37,14,10,[4]
93,6,39,14,8,[0]
94,8,37,14,6,[3]
95,10,38,14,4,[1]
96,12,37,14,2,[0]
97,14,35,14,0,[0]
98,2,33,14,12,[3]
99,4,34,14,10,[2]
100,6,34,14,8,[3]
101,8,35,14,6,[5]
102,10,38,14,4,[0]
103,12,36,14,2,[2]
104,14,36,14,0,[5]
105,1,0,14,13,[3]
106,3,1,14,11,[0]
107,5,0,14,9,[0]
108,5,0,14,9,[3]
109,6,1,14,8,[5]
110,8,4,14,6,[1]
111,10,3,14,4,[0]
112,2,1,14,12,[2]
113,4,1,14,10,[4]
114,6,3,14,8,[5]
115,8,6,14,6,[4]
116,10,8,14,4,[0]
117,12,6,14,2,[2]
118,14,6,14,0,[0]
119,2,4,14,12,[1]
120,4,3,14,10,[3]
121,6,4,14,8,[1]
122,8,3,14,6,[4]
123,10,5,14,4,[1]
124,12,4,14,2,[0]
125,14,2,14,0,[0]
126,2,0,14,12,[1]
127,4,0,14,10,[4]
128,5,2,14,9,[0]
129,7,0,14,7,[2]
130,9,0,14,5,[4]
131,11,2,14,3,[1]
132,13,1,14,1,[0]
133,2,0,14,12,[1]
134,3,0,14,11,[4]
135,4,2,14,10,[1]
136,6,1,14,8,[5]
137,8,4,14,6,[0]
138,10,2,14,4,[4]
139,12,4,14,2,[1]
140,2,3,14,12,[5]
141,4,6,14,10,[4]
142,6,8,14,8,[2]
143,8,8,14,6,[2]
144,10,8,14,4,[4]
145,12,10,14,2,[5]
146,14,13,14,0,[4]
147,2,15,14,12,[3]
148,4,16,14,10,[1]
149,6,15,14,8,[3]
150,8,16,14,6,[5]
151,10,19,14,4,[1]
152,12,18,14,2,[5]
153,14,21,14,0,[5]
154,2,24,14,12,[2]
155,4,24,14,10,[3]
156,6,25,14,8,[5]
157,8,28,14,6,[4]
158,10,30,14,4,[2]
159,12,30,14,2,[1]
160,14,29,14,0,[3]
161,2,30,14,12,[5]
162,4,33,14,10,[0]
163,6,31,14,8,[3]
164,8,32,14,6,[2]
165,10,32,14,4,[4]
166,12,34,14,2,[2]
167,14,34,14,0,[2]
168,2,34,14,12,[3]
169,4,35,14,10,[1]
170,6,34,14,8,[0]
171,8,32,14,6,[0]
172,10,30,14,4,[4]
173,12,32,14,2,[1]
174,14,31,14,0,[4]
175,2,33,14,12,[0]
176,4,31,14,10,[1]
177,6,30,14,8,[4]
178,8,32,14,6,[0]
179,10,30,14,4,[0]
180,12,28,14,2,[0]
181,14,26,14,0,[4]
182,2,28,14,12,[0]
183,4,26,14,10,[5]
184,6,29,14,8,[0]
185,8,27,14,6,[1]
186,10,26,14,4,[4]
187,12,28,14,2,[5]
188,14,31,14,0,[5]
189,2,34,14,12,[4]
190,4,36,14,10,[5]
191,6,39,14,8,[1]
192,8,38,14,6,[0]
193,10,36,14,4,[3]
194,12,37,14,2,[3]
195,14,38,14,0,[1]
196,2,37,14,12,[3]
197,4,38,14,10,[0]
198,6,36,14,8,[1]
199,8,35,14,6,[4]
200,10,37,14,4,[5]
201,12,40,14,2,[0]
202,14,38,14,0,[3]
203,2,39,14,12,[3]
204,4,40,14,10,[4]
205,6,42,14,8,[2]
206,8,42,14,6,[1]
207,10,41,14,4,[5]
208,12,44,14,2,[3]
209,14,45,14,0,[3]
210,1,0,14,13,[1]
211,3,0,14,11,[4]
212,4,2,14,10,[3]
213,6,3,14,8,[2]
214,8,3,14,6,[4]
215,10,5,14,4,[0]
216,12,3,14,2,[4]
217,2,5,14,12,[2]
218,4,5,14,10,[1]
219,6,4,14,8,[2]
220,8,4,14,6,[4]
221,10,6,14,4,[2]
222,12,6,14,2,[4]
223,14,8,14,0,[0]
224,2,6,14,12,[4]
225,4,8,14,10,[1]
226,6,7,14,8,[0]
227,8,5,14,6,[2]
228,10,5,14,4,[1]
229,12,4,14,2,[4]
230,14,6,14,0,[1]
231,2,5,14,12,[1]
232,4,4,14,10,[1]
233,6,3,14,8,[3]
234,8,4,14,6,[0]
235,10,2,14,4,[5]
236,12,5,14,2,[4]
237,14,7,14,0,[2]
238,2,7,14,12,[1]
239,4,6,14,10,[4]
240,6,8,14,8,[2]
241,8,8,14,6,[5]
242,10,11,14,4,[4]
243,12,13,14,2,[1]
244,14,12,14,0,[0]
245,2,10,14,12,[5]
246,4,13,14,10,[1]
247,6,12,14,8,[4]
248,8,14,14,6,[3]
249,10,15,14,4,[0]
250,12,13,14,2,[1]
251,14,12,14,0,[0]
252,2,10,14,12,[4]
253,4,12,14,10,[2]
254,6,12,14,8,[3]
255,8,13,14,6,[5]
256,10,16,14,4,[2]
257,12,16,14,2,[1]
258,14,15,14,0,[0]
259,2,13,14,12,[1]
260,4,12,14,10,[5]
261,6,15,14,8,[4]
262,8,17,14,6,[0]
263,10,15,14,4,[0]
264,12,13,14,2,[1]
265,14,12,14,0,[2]
266,2,12,14,12,[0]
267,4,10,14,10,[5]
268,6,13,14,8,[0]
269,8,11,14,6,[5]
270,10,14,14,4,[1]
271,12,13,14,2,[2]
272,14,13,14,0,[5]
273,2,16,14,12,[1]
274,4,15,14,10,[5]
275,6,18,14,8,[0]
276,8,16,14,6,[4]
277,10,18,14,4,[1]
278,12,17,14,2,[0]
279,14,15,14,0,[3]
280,2,16,14,12,[3]
281,4,17,14,10,[2]
282,6,17,14,8,[1]
283,8,16,14,6,[4]
284,10,18,14,4,[1]
285,12,17,14,2,[3]
286,14,18,14,0,[3]
287,2,19,14,12,[1]
288,4,18,14,10,[1]
289,6,17,14,8,[5]
290,8,20,14,6,[4]
291,10,22,14,4,[0]
292,12,20,14,2,[5]
293,14,23,14,0,[4]
294,2,25,14,12,[0]
295,4,23,14,10,[5]
296,6,26,14,8,[0]
297,8,24,14,6,[0]
298,10,22,14,4,[0]
299,12,20,14,2,[4]
300,14,22,14,0,[5]
301,2,25,14,12,[5]
302,4,28,14,10,[5]
303,6,31,14,8,[0]
304,8,29,14,6,[4]
305,10,31,14,4,[0]
306,12,29,14,2,[0]
307,14,27,14,0,[3]
308,2,28,14,12,[4]
309,4,30,14,10,[4]
310,6,32,14,8,[2]
311,8,32,14,6,[1]
312,10,31,14,4,[0]
313,12,29,14,2,[1]
314,14,28,14,0,[1]
315,1,0,14,13,[5]
316,3,3,14,11,[4]
317,5,5,14,9,[3]
318,7,6,14,7,[1]
319,9,5,14,5,[5]
320,11,8,14,3,[1]
321,13,7,14,1,[5]
322,2,10,14,12,[4]
323,4,12,14,10,[0]
324,6,10,14,8,[3]
325,8,11,14,6,[5]
326,10,14,14,4,[0]
327,12,12,14,2,[3]
328,14,13,14,0,[1]
329,2,12,14,12,[4]
330,4,14,14,10,[0]
331,6,12,14,8,[4]
332,8,14,14,6,[4]
333,10,16,14,4,[3]
334,12,17,14,2,[0]
335,14,15,14,0,[5]
336,2,18,14,12,[4]
337,4,20,14,10,[1]
338,6,19,14,8,[4]
339,8,21,14,6,[4]
340,10,23,14,4,[2]
341,12,23,14,2,[5]
342,14,26,14,0,[2]
343,2,26,14,12,[0]
344,4,24,14,10,[3]
345,6,25,14,8,[4]
346,8,27,14,6,[4]
347,10,29,14,4,[2]
348,12,29,14,2,[0]
349,14,27,14,0,[0]
350,2,25,14,12,[1]
351,4,24,14,10,[4]
352,6,26,14,8,[4]
353,8,28,14,6,[3]
354,10,29,14,4,[3]
355,12,30,14,2,[1]
356,14,29,14,0,[2]
357,2,29,14,12,[0]
358,4,27,14,10,[3]
359,6,28,14,8,[2]
360,8,28,14,6,[5]
361,10,31,14,4,[4]
362,12,33,14,2,[5]
363,14,36,14,0,[4]
364,2,38,14,12,[5]
365,4,41,14,10,[0]
366,6,39,14,8,[2]
367,8,39,14,6,[1]
368,10,38,14,4,[0]
369,12,36,14,2,[1]
370,14,35,14,0,[0]
371,2,33,14,12,[0]
372,4,31,14,10,[2]
373,6,31,14,8,[4]
374,8,33,14,6,[2]
375,10,33,14,4,[0]
376,12,31,14,2,[2]
377,14,31,14,0,[5]
378,2,34,14,12,[4]
379,4,36,14,10,[4]
380,6,38,14,8,[2]
381,8,38,14,6,[0]
382,10,36,14,4,[4]
383,12,38,14,2,[2]
384,14,38,14,0,[4]
385,2,40,14,12,[0]
386,4,38,14,10,[1]
387,6,37,14,8,[5]
388,8,40,14,6,[4]
389,10,42,14,4,[2]
390,12,42,14,2,[1]
391,14,41,14,0,[1]
392,2,40,14,12,[1]
393,4,39,14,10,[1]
394,6,38,14,8,[2]
395,8,38,14,6,[3]
396,10,39,14,4,[4]
397,12,41,14,2,[4]
398,14,43,14,0,[4]
399,2,45,14,12,[2]
400,4,45,14,10,[0]
401,6,43,14,8,[4]
402,8,45,14,6,[0]
403,10,43,14,4,[0]
404,12,41,14,2,[3]
