Day,Demand,DailyCost,OrderQty_RAW MATERIAL 1.1,OrderQty_RAW MATERIAL 2.1,OrderQty_RAW MATERIAL 2.2,InvLev_PRODUCT,InvLev_RAW MATERIAL 1.1,InvLev_RAW MATERIAL 2.1,InvLev_RAW MATERIAL 2.2,InvLev_WIP 1
1,2,71.0,0,5,4,11,8,8,8,9
2,0,163.5,4,0,5,13,10,6,11,9
3,3,169.5,4,2,2,12,12,6,11,9
4,1,157.5,0,0,4,13,10,4,13,9
5,0,166.0,0,5,3,15,8,7,14,9
6,0,167.5,0,3,4,17,6,8,16,9
7,4,173.5,5,0,2,15,9,6,16,9
8,4,186.0,3,5,4,13,10,9,18,9
9,4,177.5,3,3,1,11,11,10,17,9
10,1,184.5,2,5,4,12,11,13,18,9
11,4,188.5,3,4,3,10,12,15,18,9
12,0,179.5,3,3,1,12,13,16,17,9
13,3,177.5,2,1,1,11,13,15,16,9
14,4,181.5,5,0,2,9,16,13,16,9
15,1,187.0,5,2,3,10,18,13,17,9
16,0,179.5,1,1,4,12,17,12,18,9
17,2,189.0,2,2,5,12,17,12,18,9
18,4,196.0,4,5,2,10,18,15,18,9
19,3,179.5,5,0,0,9,18,13,16,9
20,0,180.5,2,2,3,11,18,13,17,9
21,0,183.0,1,2,4,13,17,13,18,9
22,3,203.0,5,4,5,12,18,15,18,9
23,2,196.0,2,4,4,12,18,17,18,9
24,0,195.5,2,4,4,14,18,18,18,9
25,3,196.0,1,4,3,13,17,18,18,9
26,1,202.0,3,5,4,14,18,18,18,9
27,4,187.0,5,0,0,12,18,16,16,9
28,1,177.5,4,0,0,13,18,14,14,9
29,3,180.0,0,1,4,12,16,13,16,9
30,4,183.5,3,0,4,10,17,11,18,9
31,4,177.0,0,2,3,8,15,11,18,9
32,3,164.5,2,0,0,7,15,9,16,9
33,0,189.0,5,5,4,9,18,12,18,9
34,3,186.5,2,5,1,8,18,15,17,9
35,3,189.0,4,3,2,7,18,16,17,9
36,1,190.0,5,4,1,8,18,18,16,9
37,1,179.5,2,3,0,9,18,18,14,9
38,0,172.5,2,1,0,11,18,17,12,9
39,4,192.0,2,5,3,9,18,18,13,9
40,4,193.0,5,4,2,7,18,18,13,9
41,3,182.5,1,3,3,6,17,18,14,9
42,4,182.0,1,3,3,4,16,18,15,9
43,4,182.5,4,3,1,2,18,18,14,9
44,3,225.0,3,0,4,2,18,16,16,9
45,2,182.5,3,1,5,2,18,15,18,9
46,0,170.5,1,0,4,4,17,13,18,9
47,0,170.5,2,3,0,6,17,14,16,9
48,2,193.5,5,4,4,6,18,16,18,9
49,2,178.5,0,3,2,6,16,17,18,9
50,2,177.5,4,1,0,6,18,16,16,9
51,0,180.0,1,1,5,8,17,15,18,9
52,0,196.0,4,5,4,10,18,18,18,9
53,0,190.0,2,3,3,12,18,18,18,9
54,1,187.5,4,2,0,13,18,18,16,9
55,2,183.0,0,5,0,13,16,18,14,9
56,3,186.0,3,4,0,12,17,18,12,9
57,0,195.0,4,3,5,14,18,18,15,9
58,1,187.5,1,0,5,15,17,16,18,9
