,cpu-cpu,cpu-cuda,cuda-cuda
0,846.7856791,784.8977683,
1,620.3050988,591.0505772,
2,459.3954577,431.254987,
3,340.9117565,292.7417245,
4,260.4229038,247.3725126,
5,253.2119608,241.9153724,
6,252.9074726,247.7389383,
7,252.1162474,239.6188555,
8,247.7166066,243.7053833,
9,247.5272384,238.3883452,
10,247.4960101,239.3558309,
11,247.4688256,236.9681633,
12,243.9773374,245.3333311,
13,243.7954519,241.2772894,
14,242.7189815,236.9982255,
15,242.0547302,237.6990404,
16,241.608835,237.3777039,
17,240.6736147,241.4930952,
18,240.6556191,235.4086406,
19,240.0528984,240.699703,
20,239.4337485,248.6227942,
21,239.1450827,236.284306,
22,239.1144016,237.5123374,
23,239.0195603,241.8365159,
24,238.8130441,239.0760579,
25,238.2864945,238.0825832,
26,238.0578859,240.1997564,
27,237.1935711,238.7900207,
28,237.0791335,235.4132175,
29,236.9733434,253.3535309,
