,cpu-cpu,cpu-gpu,gpu-gpu,gpu-cpu
0,236.284306,784.8977683,437.0187621,296.0399618
1,235.4086406,591.0505772,438.2543964,297.8314679
2,236.9681633,431.254987,434.0991468,296.7092013
3,238.3883452,292.7417245,433.2354467,304.7196667
4,241.2772894,247.3725126,423.4138875,325.4419234
5,239.3558309,241.9153724,430.3793979,321.0288177
6,241.9153724,247.7389383,433.8702965,324.5746605
7,239.6188555,239.6188555,423.159678,319.4529374
8,243.7053833,243.7053833,436.7815084,324.0660412
9,240.699703,238.3883452,422.3973691,321.2175233
10,247.3725126,239.3558309,447.294178,344.3965847
11,241.4930952,236.9681633,427.5565603,317.6314573
12,237.3777039,245.3333311,423.2577093,318.4119484
13,292.7417245,241.2772894,530.5857594,436.8646693
14,245.3333311,236.9982255,424.5959609,317.9158156
15,240.1997564,237.6990404,423.8906269,320.7497017
16,431.254987,237.3777039,636.7974298,598.3513725
17,248.6227942,241.4930952,433.8448372,330.3100061
18,236.9982255,235.4086406,423.3766599,310.6038756
19,239.0760579,240.699703,423.2634461,305.4570291
20,591.0505772,248.6227942,789.0332355,727.3141959
21,237.5123374,236.284306,435.6012006,313.0613177
22,247.7389383,237.5123374,424.2548075,306.5194104
23,238.0825832,241.8365159,422.5788398,311.2782857
24,241.8365159,239.0760579,421.4820321,309.3106933
25,784.8977683,238.0825832,1023.010026,933.5047612
26,238.7900207,240.1997564,441.307395,330.0155802
27,253.3535309,238.7900207,424.7112315,329.9309273
28,237.6990404,235.4132175,424.9618516,320.5561395
29,235.4132175,253.3535309,423.0225945,311.358+A1:E314063
