,0
0,1842.6273756027222
1,2016.3610949516296
2,1981.5595970153809
3,1954.1650395393372
4,1924.9354364871979
5,1890.1923067569733
6,1887.763790845871
7,1871.0874166488647
8,1850.3082234859467
9,1825.989998102188
10,1829.4558594226837
11,1826.2073030471802
12,1841.0739176273346
13,1828.6769859790802
14,1816.3518488407135
15,1813.6695063114166
16,1816.4572038650513
17,1811.1547737121582
18,1807.9942376613617
19,1813.4979202747345
20,1826.18940615654
21,1806.604548215866
22,1808.1649668216705
23,1801.2629735469818
24,1801.0386712551117
25,1853.2525794506073
26,1839.6686608791351
27,1836.5990846157074
28,1838.466495513916
29,1838.1722218990326
