,0
0,437.0187621116638
1,438.25439643859863
2,434.09914684295654
3,433.23544669151306
4,423.41388750076294
5,430.3793978691101
6,433.8702964782715
7,423.1596779823303
8,436.78150844573975
9,422.39736914634705
10,447.2941780090332
11,427.55656027793884
12,423.25770926475525
13,530.5857594013214
14,424.595960855484
15,423.89062690734863
16,636.7974298000336
17,433.8448371887207
18,423.3766598701477
19,423.2634460926056
20,789.0332355499268
21,435.6012005805969
22,424.254807472229
23,422.57883977890015
24,421.48203206062317
25,1023.010026216507
26,441.3073949813843
27,424.71123147010803
28,424.9618515968323
29,423.0225944519043
